County,Trump_2016,Clinton_2016,Total Ballots_2016President,Registered Voters_2016President,Turnout_2016President
ANDERSON,13201,3369,16977,28111,60.39%
ANDREWS,3927,836,4943,9130,54.14%
ANGELINA,21668,7538,29911,51610,57.96%
ARANSAS,7740,2465,10512,17263,60.89%
ARCHER,3786,394,4283,6314,67.83%
ARMSTRONG,924,70,1021,1391,73.40%
ATASCOSA,8618,4651,13673,26488,51.62%
AUSTIN,9637,2320,12274,19263,63.72%
BAILEY,1344,397,1793,3714,48.28%
BANDERA,8163,1726,10218,15524,65.82%
BASTROP,16328,10569,28454,45137,63.04%
BAYLOR,1267,191,1499,2433,61.61%
BEE,4744,3444,8485,15709,54.01%
BELL,51998,37801,94994,186533,50.93%
BEXAR,240333,319550,589645,1045357,56.41%
BLANCO,4212,1244,5685,8033,70.77%
BORDEN,330,31,365,463,78.83%
BOSQUE,6339,1278,7838,12002,65.31%
BOWIE,24924,8838,34602,59083,58.57%
BRAZORIA,72791,43200,121181,196507,61.67%
BRAZOS,38738,23121,67211,106804,62.93%
BREWSTER,2077,1873,4252,7369,57.70%
BRISCOE,625,91,736,1096,67.15%
BROOKS,613,1937,2596,6428,40.39%
BROWN,12017,1621,14026,23424,59.88%
BURLESON,5316,1491,6960,11637,59.81%
BURNET,14638,3797,19204,29587,64.91%
CALDWELL,6691,4795,12092,22560,53.60%
CALHOUN,4638,2118,6965,12863,54.15%
CALLAHAN,4865,569,5579,9192,60.69%
CAMERON,29472,59402,92079,197726,46.57%
CAMP,3201,1260,4542,7582,59.91%
CARSON,2620,249,2964,4317,68.66%
CASS,9726,2391,12344,20040,61.60%
CASTRO,1414,526,1997,3959,50.44%
CHAMBERS,13339,2948,16786,26930,62.33%
CHEROKEE,12919,3469,16790,27788,60.42%
CHILDRESS,1802,253,2084,3564,58.47%
CLAY,4377,536,5018,7656,65.54%
COCHRAN,679,190,901,1777,50.70%
COKE,1265,140,1423,2192,64.92%
COLEMAN,3177,388,3643,5942,61.31%
COLLIN,201014,140624,361419,537358,67.26%
COLLINGSWORTH,983,145,1156,1901,60.81%
COLORADO,6325,1987,8513,13871,61.37%
COMAL,45136,14238,62178,92403,67.29%
COMANCHE,4333,789,5237,8911,58.77%
CONCHO,885,148,1068,1662,64.26%
COOKE,13181,2352,15955,25086,63.60%
CORYELL,12225,5064,18253,37644,48.49%
COTTLE,506,92,612,1072,57.09%
CRANE,1049,299,1384,2679,51.66%
CROCKETT,980,372,1395,2553,54.64%
CROSBY,1181,468,1728,3604,47.95%
CULBERSON,280,454,767,1762,43.53%
DALLAM,1261,222,1544,3151,49.00%
DALLAS,262945,461080,758973,1287082,58.97%
DAWSON,2636,835,3563,7343,48.52%
DEAF SMITH,2911,1185,4216,8669,48.63%
DELTA,1836,400,2281,3845,59.32%
DENTON,170603,110890,298645,464790,64.25%
DEWITT,5519,1163,6844,11856,57.73%
DICKENS,755,128,909,1330,68.35%
DIMMIT,974,2173,3225,7440,43.35%
DONLEY,1225,191,1465,2312,63.37%
DUVAL,1316,2783,4168,8357,49.87%
EASTLAND,6011,776,6963,11683,59.60%
ECTOR,25020,10249,36530,73142,49.94%
EDWARDS,746,303,1073,1514,70.87%
ELLIS,44941,16253,63673,102235,62.28%
EL PASO,55512,147843,214008,428319,49.96%
ERATH,11210,2160,13893,21537,64.51%
FALLS,3441,1684,5248,10135,51.78%
FANNIN,9548,2132,12044,20565,58.57%
FAYETTE,8743,2144,11174,16279,68.64%
FISHER,1265,403,1729,2769,62.44%
FLOYD,1474,435,1959,4068,48.16%
FOARD,383,113,513,948,54.11%
FORT BEND,117291,134686,262066,404035,64.86%
FRANKLIN,3585,665,4380,6798,64.43%
FREESTONE,6026,1471,7684,11987,64.10%
FRIO,1856,2444,4400,9130,48.19%
GAINES,3907,597,4620,8616,53.62%
GALVESTON,73757,43658,122903,208232,59.02%
GARZA,1225,230,1484,2721,54.54%
GILLESPIE,10446,2288,13214,18968,69.66%
GLASSCOCK,553,34,604,769,78.54%
GOLIAD,2620,973,3708,5580,66.45%
GONZALES,4587,1571,6334,12272,51.61%
GRAY,6500,701,7405,12725,58.19%
GRAYSON,35325,10301,47416,78686,60.26%
GREGG,28764,11677,41749,69403,60.15%
GRIMES,7065,2194,9533,15713,60.67%
GUADALUPE,36632,18391,57822,93543,61.81%
HALE,6366,2101,8858,19473,45.49%
HALL,893,164,1091,2021,53.98%
HAMILTON,3060,479,3620,5467,66.22%
HANSFORD,1730,171,1947,3065,63.52%
HARDEMAN,1207,249,1513,2536,59.66%
HARDIN,19606,2780,22780,38154,59.71%
HARRIS,545955,707914,1312112,2234671,58.72%
HARRISON,18749,7151,26548,44622,59.50%
HARTLEY,1730,173,1952,2975,65.61%
HASKELL,1403,314,1770,3394,52.15%
HAYS,33826,33224,72164,121326,59.48%
HEMPHILL,1462,181,1695,2368,71.58%
HENDERSON,23650,5669,30045,50692,59.27%
HIDALGO,48642,118809,173437,338562,51.23%
HILL,10108,2547,12970,22825,56.82%
HOCKLEY,5809,1260,7311,13723,53.28%
HOOD,21382,4008,26262,38284,68.60%
HOPKINS,10707,2510,13538,22495,60.18%
