ANDERSON	0 of 23 precinct reporting	11,120	15,110	3,249	3,955	96	134	21	22	0	0	4	5	0	0	0	0	1	1	0	0	0	0	0	0	0	0	19,227	29,274	65.68%
ANDREWS	0 of 5 precinct reporting	4,029	4,943	700	850	45	60	6	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5,863	10,272	57.08%
ANGELINA	0 of 43 precinct reporting	20,658	25,076	7,717	9,143	200	274	54	75	0	0	3	3	0	0	0	0	2	2	1	1	0	0	0	0	0	0	34,574	53,166	65.03%
ARANSAS	0 of 6 precinct reporting	8,249	9,239	2,670	2,916	84	103	26	31	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12,290	18,306	67.14%
ARCHER	0 of 12 precinct reporting	3,236	4,300	356	446	28	45	2	4	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	4,796	6,538	73.36%
ARMSTRONG	0 of 8 precinct reporting	784	1,035	61	75	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1,112	1,498	74.23%
ATASCOSA	0 of 25 precinct reporting	9,766	12,039	4,844	5,876	112	143	44	58	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	18,118	29,409	61.61%
AUSTIN	0 of 18 precinct reporting	9,001	11,447	2,438	2,951	91	123	26	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14,554	20,293	71.72%
BAILEY	0 of 5 precinct reporting	1,023	1,434	253	409	7	14	0	2	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1,860	3,539	52.56%
BANDERA	0 of 11 precinct reporting	8,671	10,057	2,297	2,505	92	120	22	30	0	0	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12,715	17,098	74.37%
BASTROP	0 of 23 precinct reporting	16,890	20,516	13,903	15,474	407	531	107	128	0	0	5	6	2	2	1	1	2	2	4	4	0	0	0	0	0	1	36,665	52,096	70.38%
BAYLOR	0 of 5 precinct reporting	1,221	1,494	146	183	16	22	1	1	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1,702	2,408	70.68%
BEE	0 of 18 precinct reporting	4,691	6,006	2,761	3,288	68	93	21	27	0	0	2	2	0	0	2	2	0	0	1	1	1	1	0	0	0	0	9,420	16,033	58.75%
BELL	0 of 49 precinct reporting	53,984	67,893	48,532	57,014	1,336	1,980	323	440	0	1	25	32	2	2	0	2	3	6	2	3	0	0	2	2	0	0	127,375	215,974	58.98%
BEXAR	0 of 767 precinct reporting	270,892	308,618	404,967	448,452	7,115	8,837	2,283	2,798	1,509	1,866	137	164	16	17	8	8	8	10	28	34	1	1	4	4	6	9	770,818	1,189,373	64.81%
BLANCO	0 of 7 precinct reporting	4,623	5,443	1,758	1,911	58	72	11	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7,441	9,344	79.63%
BORDEN	0 of 8 precinct reporting	296	397	11	16	2	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	416	499	83.37%
BOSQUE	0 of 12 precinct reporting	5,277	7,469	1,202	1,561	50	83	10	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9,126	12,724	71.72%
BOWIE	0 of 43 precinct reporting	20,567	27,116	9,163	10,747	200	300	68	91	0	0	3	4	0	0	2	2	0	1	0	0	0	0	0	0	0	0	38,261	61,407	62.31%
BRAZORIA	0 of 67 precinct reporting	81,290	90,433	57,184	62,228	1,498	1,860	345	417	0	0	24	28	3	3	1	1	5	5	4	6	0	0	1	2	0	1	154,984	224,256	69.11%
BRAZOS	0 of 99 precinct reporting	39,914	47,530	30,641	35,349	1,303	1,812	163	252	0	0	87	111	1	2	0	0	2	2	1	2	0	0	0	0	1	1	85,061	122,137	69.64%
BREWSTER	0 of 9 precinct reporting	1,985	2,461	1,916	2,258	68	89	9	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4,822	7,524	64.09%
BRISCOE	0 of 6 precinct reporting	396	639	52	78	5	7	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	725	1,025	70.73%
BROOKS	0 of 6 precinct reporting	650	998	1,159	1,470	7	10	5	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2,484	5,521	44.99%
BROWN	0 of 19 precinct reporting	10,762	13,698	1,708	2,107	82	134	15	24	1	1	3	4	0	0	0	0	1	1	0	0	0	0	0	0	0	0	15,969	23,954	66.67%
BURLESON	0 of 14 precinct reporting	5,183	6,743	1,451	1,788	34	63	13	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8,609	12,440	69.20%
BURNET	0 of 21 precinct reporting	15,709	18,767	4,951	5,639	205	268	25	34	0	0	2	2	1	1	0	0	2	5	0	0	0	0	1	1	0	0	24,717	33,697	73.35%
CALDWELL	0 of 32 precinct reporting	6,632	8,031	5,686	6,672	145	190	32	47	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	33	14,973	25,945	57.71%
CALHOUN	0 of 26 precinct reporting	3,879	5,641	1,771	2,148	43	61	5	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7,856	13,080	60.06%
CALLAHAN	0 of 8 precinct reporting	4,822	6,012	623	734	43	71	10	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6,832	9,773	69.91%
CAMERON	0 of 104 precinct reporting	40,332	49,032	54,629	64,063	576	728	276	336	0	0	8	12	0	0	0	1	0	0	1	1	0	0	0	0	1	1	114,174	218,910	52.16%
CAMP	0 of 5 precinct reporting	3,119	3,626	1,149	1,394	24	31	5	7	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5,060	7,904	64.02%
CARSON	0 of 9 precinct reporting	1,681	2,779	224	297	24	37	2	3	0	0	5	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3,122	4,345	71.85%
CASS	0 of 19 precinct reporting	8,464	11,033	2,298	2,795	56	79	10	17	0	0	0	0	0	0	0	0	2	2	0	1	0	0	0	0	0	0	13,927	20,889	66.67%
CASTRO	0 of 9 precinct reporting	834	1,602	269	466	2	9	1	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2,083	3,853	54.06%
CHAMBERS	0 of 15 precinct reporting	15,389	17,353	3,457	3,997	201	250	35	50	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	21,652	30,709	70.51%
CHEROKEE	0 of 25 precinct reporting	11,833	15,101	3,507	4,210	117	161	24	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19,508	29,166	66.89%
CHILDRESS	0 of 5 precinct reporting	1,540	1,943	249	310	12	18	4	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2,279	3,658	62.30%
CLAY	0 of 17 precinct reporting	3,659	5,069	474	614	28	46	5	12	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5,744	7,959	72.17%
COCHRAN	0 of 4 precinct reporting	553	809	119	177	5	11	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1,000	1,771	56.47%
COKE	0 of 5 precinct reporting	1,108	1,586	131	178	4	10	2	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1,779	2,414	73.70%
