,County,Trump_2020,Biden_2020,Total Ballots_2020President,Registered Voters_2020President,Turnout_2020President
0,ANDERSON,"15,062","3,934","19,155","29,274",65.43%
1,ANDREWS,"4,937",849,"5,856","10,272",57.01%
2,ANGELINA,"25,070","9,136","34,628","53,166",65.13%
3,ARANSAS,"9,210","2,896","12,241","18,306",66.87%
4,ARCHER,"4,300",446,"4,796","6,538",73.36%
5,ARMSTRONG,"1,035",75,"1,112","1,498",74.23%
6,ATASCOSA,"12,020","5,865","18,085","29,409",61.49%
7,AUSTIN,"11,282","2,931","14,368","20,293",70.80%
8,BAILEY,"1,430",407,"1,854","3,539",52.39%
9,BANDERA,"10,050","2,503","12,703","17,098",74.30%
10,BASTROP,"20,486","15,452","36,612","52,096",70.28%
11,BAYLOR,"1,478",179,"1,680","2,408",69.77%
12,BEE,"5,999","3,280","9,405","16,033",58.66%
13,BELL,"67,113","56,032","125,559","215,974",58.14%
14,BEXAR,"303,871","440,823","756,039","1,189,373",63.57%
15,BLANCO,"5,429","1,905","7,419","9,344",79.40%
16,BORDEN,395,16,412,499,82.57%
17,BOSQUE,"7,446","1,552","9,094","12,724",71.47%
18,BOWIE,"27,053","10,692","38,138","61,407",62.11%
19,BRAZORIA,"89,939","61,780","154,037","224,256",68.69%
20,BRAZOS,"47,456","35,242","84,753","122,137",69.39%
21,BREWSTER,"2,451","2,251","4,805","7,524",63.86%
22,BRISCOE,639,77,724,"1,025",70.63%
23,BROOKS,998,"1,470","2,484","5,521",44.99%
24,BROWN,"13,681","2,103","15,940","23,954",66.54%
25,BURLESON,"6,740","1,786","8,604","12,440",69.16%
26,BURNET,"18,721","5,615","24,646","33,697",73.14%
27,CALDWELL,"7,975","6,536","14,775","25,945",56.95%
28,CALHOUN,"5,640","2,146","7,853","13,080",60.04%
29,CALLAHAN,"6,006",734,"6,826","9,773",69.85%
30,CAMERON,"48,834","63,732","113,635","218,910",51.91%
31,CAMP,"3,626","1,392","5,057","7,904",63.98%
32,CARSON,"2,747",289,"3,081","4,345",70.91%
33,CASS,"10,979","2,777","13,856","20,889",66.33%
34,CASTRO,"1,601",466,"2,082","3,853",54.04%
35,CHAMBERS,"17,343","3,997","21,641","30,709",70.47%
36,CHEROKEE,"15,065","4,196","19,457","29,166",66.71%
37,CHILDRESS,"1,928",305,"2,259","3,658",61.76%
38,CLAY,"5,064",614,"5,736","7,959",72.07%
39,COCHRAN,806,176,996,"1,771",56.24%
40,COKE,"1,565",215,"1,794","2,414",74.32%
41,COLEMAN,"3,638",450,"4,120","5,960",69.13%
42,COLLIN,"250,194","227,868","485,323","648,670",74.82%
43,COLLINGSWORTH,"1,048",155,"1,218","1,942",62.72%
44,COLORADO,"7,440","2,403","9,912","14,378",68.94%
45,COMAL,"62,260","24,369","87,942","115,876",75.89%
46,COMANCHE,"5,177",852,"6,084","9,562",63.63%
47,CONCHO,"1,058",197,"1,268","1,757",72.17%
48,COOKE,"15,579","3,205","18,974","27,268",69.58%
49,CORYELL,"15,397","7,542","23,425","41,450",56.51%
50,COTTLE,543,113,665,"1,041",63.88%
51,CRANE,"1,247",241,"1,503","2,663",56.44%
52,CROCKETT,"1,219",344,"1,573","2,473",63.61%
53,CROSBY,"1,396",527,"1,953","3,629",53.82%
54,CULBERSON,415,438,864,"1,709",50.56%
55,DALLAM,"1,386",196,"1,605","3,046",52.69%
56,DALLAS,"306,572","597,407","917,245","1,398,469",65.59%
57,DAWSON,"2,951",808,"3,789","7,104",53.34%
58,DEAF SMITH,"3,293","1,263","4,608","8,900",51.78%
59,DELTA,"2,157",403,"2,587","3,949",65.51%
60,DENTON,"221,829","188,023","416,610","565,089",73.72%
61,DEWITT,"6,567","1,494","8,118","12,094",67.12%
62,DICKENS,850,130,985,"1,328",74.17%
63,DIMMIT,"1,384","2,264","3,666","7,341",49.94%
64,DONLEY,"1,438",198,"1,648","2,322",70.97%
65,DUVAL,"2,442","2,573","5,050","8,346",60.51%
66,EASTLAND,"7,216",982,"8,271","12,230",67.63%
67,ECTOR,"32,586","11,310","44,417","80,872",54.92%
68,EDWARDS,893,166,"1,064","1,499",70.98%
69,ELLIS,"56,651","27,513","85,371","120,188",71.03%
70,EL PASO,"81,235","168,801","254,029","488,470",52.01%
71,ERATH,"13,669","2,914","16,837","23,935",70.34%
72,FALLS,"4,177","1,899","6,133","10,361",59.19%
73,FANNIN,"12,150","2,638","14,969","22,199",67.43%
74,FAYETTE,"10,163","2,650","12,924","17,398",74.28%
75,FISHER,"1,448",352,"1,826","2,646",69.01%
76,FLOYD,"1,581",437,"2,035","3,850",52.86%
77,FOARD,445,99,551,884,62.33%
78,FORT BEND,"157,595","195,191","356,908","482,368",73.99%
79,FRANKLIN,"4,153",803,"5,000","7,061",70.81%
80,FREESTONE,"6,966","1,629","8,678","12,481",69.53%
81,FRIO,"2,812","2,421","5,264","8,984",58.59%
82,GAINES,"5,323",572,"5,960","9,701",61.44%
83,GALVESTON,"93,306","58,247","153,843","228,482",67.33%
84,GARZA,"1,411",231,"1,651","2,681",61.58%
85,GILLESPIE,"12,495","3,163","15,817","20,404",77.52%
86,GLASSCOCK,611,39,653,800,81.63%
87,GOLIAD,"3,081",872,"3,978","5,766",68.99%
88,GONZALES,"5,568","1,894","7,534","12,629",59.66%
89,GRAY,"6,812",820,"7,745","12,406",62.43%
90,GRAYSON,"43,776","14,223","58,760","86,740",67.74%
91,GREGG,"32,352","14,657","47,700","72,867",65.46%
92,GRIMES,"9,419","2,831","12,398","17,877",69.35%
93,GUADALUPE,"47,423","28,706","77,382","111,142",69.62%
94,HALE,"7,162","2,271","9,560","18,997",50.32%
95,HALL,992,167,"1,165","1,926",60.49%
96,HAMILTON,"3,613",641,"4,347","5,832",74.54%
97,HANSFORD,"1,848",166,"2,046","3,009",68.00%
98,HARDEMAN,"1,330",241,"1,580","2,486",63.56%
99,HARDIN,"23,806","3,449","27,555","39,952",68.97%
100,HARRIS,"699,771","911,913","1,633,557","2,480,522",65.86%
101,HARRISON,"21,318","7,812","29,462","45,933",64.14%
102,HARTLEY,"1,866",195,"2,076","2,909",71.36%
103,HASKELL,"1,837",353,"2,211","3,377",65.47%
104,HAYS,"47,427","59,213","108,822","152,840",71.20%
105,HEMPHILL,"1,486",206,"1,720","2,355",73.04%
106,HENDERSON,"28,816","7,048","36,197","54,663",66.22%
107,HIDALGO,"89,925","127,391","219,433","391,309",56.08%
108,HILL,"11,869","2,829","14,843","23,625",62.83%
109,HOCKLEY,"6,534","1,481","8,091","13,781",58.71%
110,HOOD,"26,243","5,605","32,241","44,831",71.92%
111,HOPKINS,"12,713","3,043","15,932","23,954",66.51%
112,HOUSTON,"7,050","2,312","9,425","13,444",70.11%
113,HOWARD,"7,899","2,017","10,043","17,526",57.30%
114,HUDSPETH,771,371,"1,157","2,085",55.49%
115,HUNT,"29,135","8,879","38,517","59,367",64.88%
116,HUTCHINSON,"7,659",957,"8,741","13,533",64.59%
117,IRION,759,120,889,"1,298",68.49%
118,JACK,"3,415",331,"3,779","5,254",71.93%
119,JACKSON,"5,116","1,018","6,210","9,482",65.49%
120,JASPER,"12,453","2,906","15,469","23,374",66.18%
121,JEFF DAVIS,783,501,"1,304","1,670",78.08%
122,JEFFERSON,"47,535","46,022","94,665","149,372",63.38%
123,JIM HOGG,831,"1,197","2,034","3,800",53.53%
124,JIM WELLS,"7,389","6,025","13,507","26,636",50.71%
125,JOHNSON,"54,523","16,418","71,864","105,574",68.07%
126,JONES,"5,621",989,"6,691","9,635",69.44%
127,KARNES,"3,959","1,220","5,229","8,359",62.56%
128,KAUFMAN,"37,474","18,290","56,435","81,901",68.91%
129,KENDALL,"20,064","6,008","26,419","33,836",78.08%
130,KENEDY,127,65,194,296,65.54%
131,KENT,411,47,462,592,78.04%
132,KERR,"20,858","6,510","27,710","37,726",73.45%
133,KIMBLE,"1,987",284,"2,292","3,113",73.63%
134,KING,151,8,159,183,86.89%
135,KINNEY,"1,144",446,"1,603","2,270",70.62%
136,KLEBERG,"5,557","5,359","11,041","18,749",58.89%
137,KNOX,"1,180",265,"1,456","2,391",60.90%
138,LAMAR,"16,698","4,420","21,338","32,390",65.88%
139,LAMB,"3,513",835,"4,394","8,085",54.35%
140,LAMPASAS,"8,070","2,134","10,373","15,424",67.25%
141,LASALLE,"1,335","1,052","2,406","4,426",54.36%
142,LAVACA,"8,802","1,333","10,195","13,661",74.63%
143,LEE,"6,248","1,745","8,075","11,145",72.45%
144,LEON,"7,522","1,072","8,672","11,727",73.95%
145,LIBERTY,"23,288","5,779","29,314","46,155",63.51%
146,LIMESTONE,"6,786","2,213","9,092","13,963",65.11%
147,LIPSCOMB,"1,203",131,"1,351","1,977",68.34%
148,LIVE OAK,"4,198",819,"5,053","7,572",66.73%
149,LLANO,"9,996","3,167","13,278","16,688",79.57%
150,LOVING,60,4,66,111,59.46%
151,LUBBOCK,"78,560","39,757","120,204","183,320",65.57%
152,LYNN,"1,853",428,"2,293","4,028",56.93%
153,MCCULLOCH,"2,898",490,"3,430","5,361",63.98%
154,MCLENNAN,"59,432","36,550","97,617","149,461",65.31%
155,MCMULLEN,460,53,516,706,73.09%
156,MADISON,"4,165","1,084","5,289","7,822",67.62%
157,MARION,"3,459","1,331","4,844","7,596",63.77%
158,MARTIN,"1,857",288,"2,160","3,467",62.30%
159,MASON,"2,108",566,"2,700","3,168",85.23%
160,MATAGORDA,"9,836","3,726","13,710","22,026",62.24%
161,MAVERICK,"6,881","8,324","15,338","33,050",46.41%
162,MEDINA,"15,599","6,731","22,568","33,763",66.84%
163,MENARD,819,196,"1,023","1,469",69.64%
164,MIDLAND,"45,463","12,258","58,620","90,392",64.85%
165,MILAM,"7,950","2,475","10,523","15,838",66.44%
166,MILLS,"2,214",271,"2,502","3,429",72.97%
167,MITCHELL,"2,169",397,"2,578","4,524",56.98%
168,MONTAGUE,"8,613","1,097","9,812","14,001",70.08%
169,MONTGOMERY,"193,224","74,255","271,175","370,060",73.28%
170,MOORE,"4,356","1,059","5,502","9,995",55.05%
171,MORRIS,"3,841","1,664","5,548","8,583",64.64%
172,MOTLEY,604,46,652,859,75.90%
173,NACOGDOCHES,"17,359","8,989","26,755","38,786",68.98%
174,NAVARRO,"13,787","5,097","19,105","29,959",63.77%
175,NEWTON,"4,882","1,175","6,096","9,400",64.85%
176,NOLAN,"4,127","1,161","5,352","8,871",60.33%
177,NUECES,"64,467","60,749","126,984","211,652",60.00%
178,OCHILTREE,"2,811",302,"3,155","5,192",60.77%
179,OLDHAM,917,81,"1,009","1,425",70.81%
180,ORANGE,"29,170","6,354","35,974","54,442",66.08%
181,PALO PINTO,"10,170","2,177","12,478","18,946",65.86%
182,PANOLA,"9,322","2,057","11,452","16,808",68.13%
183,PARKER,"61,584","12,789","75,434","103,999",72.53%
184,PARMER,"2,133",488,"2,648","4,537",58.36%
185,PECOS,"3,213","1,378","4,663","8,323",56.03%
186,POLK,"18,496","5,353","24,072","40,520",59.41%
187,POTTER,"22,732","9,867","33,177","57,736",57.46%
188,PRESIDIO,721,"1,463","2,217","4,789",46.29%
189,RAINS,"5,147",841,"6,044","8,320",72.64%
190,RANDALL,"50,597","12,750","64,419","93,313",69.04%
191,REAGAN,942,172,"1,124","1,879",59.82%
192,REAL,"1,643",320,"1,982","2,702",73.35%
193,RED RIVER,"4,513","1,244","5,800","8,489",68.32%
194,REEVES,"2,249","1,394","3,683","7,558",48.73%
195,REFUGIO,"2,210","1,108","3,366","5,007",67.23%
196,ROBERTS,529,17,550,680,80.88%
197,ROBERTSON,"5,631","2,359","8,080","11,844",68.22%
198,ROCKWALL,"38,842","18,149","57,792","71,102",81.28%
199,RUNNELS,"3,682",531,"4,262","7,025",60.67%
200,RUSK,"16,511","4,624","21,348","32,388",65.91%
201,SABINE,"4,767",662,"5,461","8,050",67.84%
202,SAN AUGUSTINE,"3,005",979,"3,998","6,108",65.46%
203,SAN JACINTO,"10,154","2,332","12,628","18,969",66.57%
204,SAN PATRICIO,"16,495","8,971","25,850","43,248",59.77%
205,SAN SABA,"2,308",287,"2,602","3,776",68.91%
206,SCHLEICHER,939,211,"1,158","1,709",67.76%
207,SCURRY,"4,978",818,"5,865","9,489",61.81%
208,SHACKELFORD,"1,484",130,"1,628","2,320",70.17%
209,SHELBY,"7,962","2,058","10,063","15,570",64.63%
210,SHERMAN,885,91,990,"1,520",65.13%
211,SMITH,"68,546","29,343","99,263","146,149",67.92%
212,SOMERVELL,"4,099",768,"4,940","6,712",73.60%
213,STARR,"8,224","9,099","17,478","34,050",51.33%
214,STEPHENS,"3,385",396,"3,799","5,672",66.98%
215,STERLING,584,51,639,939,68.05%
216,STONEWALL,615,116,736,953,77.23%
217,SUTTON,"1,222",322,"1,557","2,449",63.58%
218,SWISHER,"1,842",478,"2,353","3,941",59.71%
219,TARRANT,"403,271","403,698","820,157","1,212,524",67.64%
220,TAYLOR,"39,439","14,489","54,924","83,696",65.62%
221,TERRELL,334,119,458,673,68.05%
222,TERRY,"2,809",757,"3,608","6,589",54.76%
223,THROCKMORTON,806,82,899,"1,216",73.93%
224,TITUS,"7,563","2,852","10,530","17,666",59.61%
225,TOM GREEN,"32,129","12,106","44,886","70,086",64.04%
226,TRAVIS,"159,907","432,062","602,889","854,577",70.55%
227,TRINITY,"5,579","1,323","6,938","11,541",60.12%
228,TYLER,"8,095","1,390","9,547","14,556",65.59%
229,UPSHUR,"15,775","2,869","18,850","28,619",65.87%
230,UPTON,"1,176",169,"1,365","2,207",61.85%
231,UVALDE,"6,160","4,066","10,323","17,420",59.26%
232,VAL VERDE,"7,839","6,401","14,417","28,927",49.84%
233,VAN ZANDT,"22,126","3,419","25,753","38,965",66.09%
234,VICTORIA,"23,244","10,271","34,006","56,612",60.07%
235,WALKER,"15,368","7,875","23,595","35,038",67.34%
236,WALLER,"14,206","8,130","22,617","35,116",64.41%
237,WARD,"3,238",761,"4,034","6,880",58.63%
238,WASHINGTON,"12,949","4,254","17,410","23,947",72.70%
239,WEBB,"25,898","41,820","68,397","137,840",49.62%
240,WHARTON,"11,892","4,671","16,709","25,697",65.02%
241,WHEELER,"2,158",168,"2,336","3,514",66.48%
242,WICHITA,"31,930","13,024","45,753","83,575",54.74%
243,WILBARGER,"3,520",954,"4,518","8,196",55.12%
244,WILLACY,"2,437","3,097","5,575","12,804",43.54%
245,WILLIAMSON,"138,649","142,457","287,092","376,672",76.22%
246,WILSON,"18,457","6,350","25,006","35,036",71.37%
247,WINKLER,"1,753",358,"2,126","4,013",52.98%
248,WISE,"26,986","4,953","32,297","45,643",70.76%
249,WOOD,"18,962","3,487","22,665","32,382",69.99%
250,YOAKUM,"2,172",419,"2,628","4,407",59.63%
251,YOUNG,"7,112","1,036","8,242","11,769",70.03%
252,ZAPATA,"2,032","1,820","3,867","8,257",46.83%
253,ZAVALA,"1,490","2,864","4,379","8,066",54.29%
