County,Trump_2020,Biden_2020,Total Ballots_2020President,Registered Voters_2020President,Turnout_2020President
ANDERSON,15110,3955,19227,29274,65.68%
ANDREWS,4943,850,5863,10272,57.08%
ANGELINA,25076,9143,34574,53166,65.03%
ARANSAS,9239,2916,12290,18306,67.14%
ARCHER,4300,446,4796,6538,73.36%
ARMSTRONG,1035,75,1112,1498,74.23%
ATASCOSA,12039,5876,18118,29409,61.61%
AUSTIN,11447,2951,14554,20293,71.72%
BAILEY,1434,409,1860,3539,52.56%
BANDERA,10057,2505,12715,17098,74.37%
BASTROP,20516,15474,36665,52096,70.38%
BAYLOR,1494,183,1702,2408,70.68%
BEE,6006,3288,9420,16033,58.75%
BELL,67893,57014,127375,215974,58.98%
BEXAR,308618,448452,770818,1189373,64.81%
BLANCO,5443,1911,7441,9344,79.63%
BORDEN,397,16,416,499,83.37%
BOSQUE,7469,1561,9126,12724,71.72%
BOWIE,27116,10747,38261,61407,62.31%
BRAZORIA,90433,62228,154984,224256,69.11%
BRAZOS,47530,35349,85061,122137,69.64%
BREWSTER,2461,2258,4822,7524,64.09%
BRISCOE,639,78,725,1025,70.73%
BROOKS,998,1470,2484,5521,44.99%
BROWN,13698,2107,15969,23954,66.67%
BURLESON,6743,1788,8609,12440,69.20%
BURNET,18767,5639,24717,33697,73.35%
CALDWELL,8031,6672,14973,25945,57.71%
CALHOUN,5641,2148,7856,13080,60.06%
CALLAHAN,6012,734,6832,9773,69.91%
CAMERON,49032,64063,114174,218910,52.16%
CAMP,3626,1394,5060,7904,64.02%
CARSON,2779,297,3122,4345,71.85%
CASS,11033,2795,13927,20889,66.67%
CASTRO,1602,466,2083,3853,54.06%
CHAMBERS,17353,3997,21652,30709,70.51%
CHEROKEE,15101,4210,19508,29166,66.89%
CHILDRESS,1943,310,2279,3658,62.30%
CLAY,5069,614,5744,7959,72.17%
COCHRAN,809,177,1000,1771,56.47%
COKE,1586,178,1779,2414,73.70%
COLEMAN,3641,451,4124,5960,69.19%
COLLIN,252318,230945,490856,648670,75.67%
COLLINGSWORTH,1048,155,1218,1942,62.72%
