County,Cornyn_2020,Hegar_2020,Total Ballots_2020Senate,Registered Voters_2020Senate,Turnout_2020Senate
ANDERSON,"14,897","3,773","19,007","29,274",64.93%
ANDREWS,"4,888",679,"5,694","10,272",55.43%
ANGELINA,"24,955","8,765","34,357","53,166",64.62%
ARANSAS,"9,161","2,711","12,116","18,306",66.19%
ARCHER,"4,178",467,"4,724","6,538",72.25%
ARMSTRONG,"1,025",64,"1,106","1,498",73.83%
ATASCOSA,"11,889","5,576","17,864","29,409",60.74%
AUSTIN,"11,294","2,732","14,297","20,293",70.45%
BAILEY,"1,396",382,"1,817","3,539",51.34%
BANDERA,"9,950","2,291","12,530","17,098",73.28%
BASTROP,"20,439","15,047","36,453","52,096",69.97%
BAYLOR,"1,447",174,"1,659","2,408",68.90%
BEE,"5,708","3,094","9,041","16,033",56.39%
BELL,"68,118","53,489","125,018","215,974",57.89%
BEXAR,"314,896","404,482","740,884","1,189,373",62.29%
BLANCO,"5,441","1,812","7,391","9,344",79.10%
BORDEN,388,17,407,499,81.56%
BOSQUE,"7,341","1,483","9,006","12,724",70.78%
BOWIE,"26,848","10,344","37,805","61,407",61.56%
BRAZORIA,"90,214","58,334","152,437","224,256",67.97%
BRAZOS,"49,271","32,005","83,974","122,137",68.75%
BREWSTER,"2,447","2,160","4,761","7,524",63.28%
BRISCOE,625,78,714,"1,025",69.66%
BROOKS,859,"1,425","2,356","5,521",42.67%
BROWN,"13,465","1,960","15,732","23,954",65.68%
BURLESON,"6,593","1,708","8,485","12,440",68.21%
BURNET,"18,642","5,299","24,468","33,697",72.61%
CALDWELL,"7,975","6,325","14,682","25,945",56.59%
CALHOUN,"5,530","2,089","7,741","13,080",59.18%
CALLAHAN,"5,886",680,"6,711","9,773",68.67%
CAMERON,"46,289","61,202","110,709","218,910",50.57%
CAMP,"3,597","1,357","5,034","7,904",63.69%
CARSON,"2,725",278,"3,074","4,345",70.75%
CASS,"10,746","2,655","13,606","20,889",65.13%
CASTRO,"1,571",432,"2,040","3,853",52.95%
CHAMBERS,"17,027","3,786","21,342","30,709",69.50%
CHEROKEE,"14,907","4,046","19,280","29,166",66.10%
CHILDRESS,"1,919",280,"2,239","3,658",61.21%
CLAY,"4,955",632,"5,694","7,959",71.54%
COCHRAN,761,183,975,"1,771",55.05%
COKE,"1,537",170,"1,732","2,414",71.75%
COLEMAN,"3,583",425,"4,061","5,960",68.14%
COLLIN,"260,790","204,276","476,165","648,670",73.41%
COLLINGSWORTH,"1,032",145,"1,192","1,942",61.38%
COLORADO,"7,336","2,345","9,838","14,378",68.42%
COMAL,"63,043","22,133","87,330","115,876",75.37%
COMANCHE,"5,053",830,"6,003","9,562",62.78%
CONCHO,"1,029",193,"1,247","1,757",70.97%
COOKE,"15,498","2,995","18,855","27,268",69.15%
CORYELL,"15,331","7,096","23,182","41,450",55.93%
COTTLE,534,110,656,"1,041",63.02%
CRANE,"1,213",229,"1,479","2,663",55.54%
CROCKETT,"1,145",314,"1,492","2,473",60.33%
CROSBY,"1,356",486,"1,881","3,629",51.83%
CULBERSON,367,385,778,"1,709",45.52%
DALLAM,"1,368",199,"1,593","3,046",52.30%
DALLAS,"330,284","559,587","913,995","1,398,469",65.36%
DAWSON,"2,827",738,"3,641","7,104",51.25%
DEAF SMITH,"3,272","1,150","4,531","8,900",50.91%
DELTA,"2,107",370,"2,530","3,949",64.07%
DENTON,"230,355","170,391","411,902","565,089",72.89%
DEWITT,"6,399","1,384","7,887","12,094",65.21%
DICKENS,805,133,955,"1,328",71.91%
DIMMIT,"1,274","2,122","3,468","7,341",47.24%
DONLEY,"1,418",181,"1,625","2,322",69.98%
DUVAL,"1,785","2,456","4,415","8,346",52.90%
