County,Cornyn_2020,Hegar_2020,Total Ballots_2020Senate,Registered Voters_2020Senate,Turnout_2020Senate
ANDERSON,14943,3792,19072,29274,65.15%
ANDREWS,4894,779,5800,10272,56.46%
ANGELINA,24962,8771,34355,53166,64.62%
ARANSAS,9189,2729,12164,18306,66.45%
ARCHER,4178,467,4724,6538,72.25%
ARMSTRONG,1025,64,1099,1498,73.36%
ATASCOSA,11906,5588,17896,29409,60.85%
AUSTIN,11454,2752,14481,20293,71.36%
BAILEY,1400,383,1822,3539,51.48%
BANDERA,9957,2291,12537,17098,73.32%
BASTROP,20468,15071,36506,52096,70.07%
BAYLOR,1462,177,1678,2408,69.68%
BEE,5713,3103,9055,16033,56.48%
BELL,68934,54413,126804,215974,58.71%
BEXAR,320095,411328,752987,1189373,63.31%
BLANCO,5457,1816,7408,9344,79.28%
BORDEN,390,18,411,499,82.36%
BOSQUE,7367,1490,9039,12724,71.04%
BOWIE,26908,10406,37931,61407,61.77%
BRAZORIA,90705,58759,153367,224256,68.39%
BRAZOS,49346,32098,84161,122137,68.91%
BREWSTER,2453,2167,4772,7524,63.42%
BRISCOE,625,79,715,1025,69.76%
BROOKS,859,1425,2356,5521,42.67%
BROWN,13482,1965,15755,23954,65.77%
BURLESON,6596,1709,8489,12440,68.24%
BURNET,18687,5323,24540,33697,72.83%
CALDWELL,8044,6449,14880,25945,57.35%
CALHOUN,5531,2092,7745,13080,59.21%
CALLAHAN,5892,680,6719,9773,68.75%
CAMERON,46482,61508,111223,218910,50.81%
CAMP,3597,1359,5036,7904,63.71%
CARSON,2756,286,3113,4345,71.65%
CASS,10796,2672,13813,20889,66.13%
CASTRO,1572,432,2041,3853,52.97%
CHAMBERS,17037,3786,21353,30709,69.53%
CHEROKEE,14945,4058,19331,29166,66.28%
CHILDRESS,1936,283,2259,3658,61.76%
CLAY,4958,632,5698,7959,71.59%
COCHRAN,765,183,978,1771,55.22%
COKE,1557,171,1754,2414,72.66%
COLEMAN,3586,426,4065,5960,68.20%
COLLIN,263074,207005,481306,648670,74.20%
COLLINGSWORTH,1032,145,1192,1942,61.38%
COLORADO,7367,2362,9890,14378,68.79%
COMAL,63545,22552,88270,115876,76.18%
COMANCHE,5053,831,6004,9562,62.79%
CONCHO,1029,193,1247,1757,70.97%
COOKE,15516,2999,18877,27268,69.23%
CORYELL,15372,7118,23249,41450,56.09%
COTTLE,534,110,656,1041,63.02%
CRANE,1213,229,1479,2663,55.54%
CROCKETT,1146,314,1493,2473,60.37%
CROSBY,1356,486,1881,3629,51.83%
CULBERSON,367,385,778,1709,45.52%
DALLAM,1369,200,1595,3046,52.36%
DALLAS,330851,560603,915661,1398469,65.48%
DAWSON,2827,738,3641,7104,51.25%
DEAF SMITH,3273,1151,4533,8900,50.93%
DELTA,2111,370,2534,3949,64.17%
DENTON,231025,170984,413211,565089,73.12%
DEWITT,6399,1384,7887,12094,65.21%
DICKENS,808,133,958,1328,72.14%
DIMMIT,1274,2122,3468,7341,47.24%
DONLEY,1418,181,1625,2322,69.98%
DUVAL,1787,2458,4419,8346,52.95%
EASTLAND,7015,910,8089,12230,66.14%
ECTOR,31711,10682,43572,80872,53.88%
EDWARDS,824,144,986,1499,65.78%
ELLIS,57078,25780,85039,120188,70.75%
EL PASO,80021,164931,259250,488470,53.07%
ERATH,13564,2707,16708,23935,69.81%
FALLS,4157,1787,6039,10361,58.29%
FANNIN,11836,2559,14749,22199,66.44%
FAYETTE,10056,2634,12864,17398,73.94%
FISHER,1418,351,1804,2646,68.18%
FLOYD,1554,397,1990,3850,51.69%
FOARD,404,107,519,884,58.71%
FORT BEND,160977,178984,347439,482368,72.03%
FRANKLIN,4114,753,4942,7061,69.99%
FREESTONE,6838,1553,8557,12481,68.56%
FRIO,2489,2283,4921,8984,54.78%
GAINES,5118,548,5760,9701,59.38%
GALVESTON,94317,55094,153386,228482,67.13%
GARZA,1374,225,1617,2681,60.31%
GILLESPIE,12543,2996,15779,20404,77.33%
GLASSCOCK,603,35,646,800,80.75%
GOLIAD,3000,840,3909,5766,67.79%
GONZALES,5617,1782,7531,12629,59.63%
GRAY,6705,774,7688,12406,61.97%
GRAYSON,43735,13938,58974,86740,67.99%
GREGG,32467,14025,47484,72867,65.17%
GRIMES,9338,2678,12275,17877,68.66%
GUADALUPE,48308,26697,76981,111142,69.26%
HALE,6999,2155,9376,18997,49.36%
HALL,967,156,1140,1926,59.19%
HAMILTON,3574,594,4294,5832,73.63%
HANSFORD,1844,158,2028,3009,67.40%
HARDEMAN,1313,232,1555,2486,62.55%
HARDIN,23516,3388,27384,39952,68.54%
HARRIS,718228,854158,1614525,2480522,65.09%
HARRISON,21231,7612,29384,45933,63.97%
HARTLEY,1859,176,2072,2909,71.23%
HASKELL,1808,347,2183,3377,64.64%
HAYS,49539,55597,108546,152840,71.02%
HEMPHILL,1465,197,1693,2355,71.89%
HENDERSON,28717,6672,36096,54663,66.03%
HIDALGO,84284,116962,209483,391309,53.53%
HILL,11845,2688,14827,23625,62.76%
HOCKLEY,6449,1384,7988,13781,57.96%
HOOD,26253,5228,32181,44831,71.78%
HOPKINS,12497,2833,15647,23954,65.32%
HOUSTON,6984,2230,9334,13444,69.43%
HOWARD,7854,1959,10051,17526,57.35%
HUDSPETH,680,383,1101,2085,52.81%
HUNT,28888,8319,38058,59367,64.11%
HUTCHINSON,7575,900,8693,13533,64.24%
IRION,760,111,880,1298,67.80%
JACK,3322,319,3700,5254,70.42%
JACKSON,5167,1021,6309,9482,66.54%
JASPER,12312,2851,15389,23374,65.84%
JEFF DAVIS,767,483,1286,1670,77.01%
JEFFERSON,46928,44112,92926,149372,62.21%
JIM HOGG,652,1136,1844,3800,48.53%
JIM WELLS,6957,6025,13260,26636,49.78%
JOHNSON,54403,15474,71463,105574,67.69%
JONES,5546,967,6621,9635,68.72%
KARNES,3833,1178,5089,8359,60.88%
KAUFMAN,37649,17507,56471,81901,68.95%
KENDALL,20584,5335,26392,33836,78.00%
KENEDY,107,57,169,296,57.09%
KENT,386,53,445,592,75.17%
KERR,21022,5946,27543,37726,73.01%
KIMBLE,1962,254,2253,3113,72.37%
KING,149,5,154,183,84.15%
KINNEY,1070,395,1508,2270,66.43%
KLEBERG,5374,5067,10708,18749,57.11%
KNOX,1147,263,1431,2391,59.85%
LAMAR,16476,4295,21165,32390,65.34%
LAMB,3469,802,4370,8085,54.05%
LAMPASAS,8102,1978,10330,15424,66.97%
LASALLE,1082,1005,2147,4426,48.51%
LAVACA,8599,1305,10038,13661,73.48%
LEE,6211,1689,8032,11145,72.07%
LEON,7421,1028,8592,11727,73.27%
LIBERTY,22743,5662,29009,46155,62.85%
LIMESTONE,6656,2112,8967,13963,64.22%
LIPSCOMB,1181,117,1324,1977,66.97%
LIVE OAK,4122,790,4981,7572,65.78%
LLANO,10047,2331,12596,16688,75.48%
LOVING,58,5,65,111,58.56%
LUBBOCK,79459,36319,119504,183320,65.19%
LYNN,1817,411,2263,4028,56.18%
MCCULLOCH,2843,460,3385,5361,63.14%
MCLENNAN,60036,33439,96129,149461,64.32%
MCMULLEN,454,43,500,706,70.82%
MADISON,4118,1030,5223,7822,66.77%
MARION,3380,1276,4758,7596,62.64%
MARTIN,1811,263,2112,3467,60.92%
MASON,1980,443,2455,3168,77.49%
MATAGORDA,9647,3551,13482,22026,61.21%
MAVERICK,5708,7956,14289,33050,43.23%
MEDINA,15594,6207,22212,33763,65.79%
MENARD,797,189,1000,1469,68.07%
MIDLAND,45733,11417,58528,90392,64.75%
MILAM,7759,2382,10331,15838,65.23%
MILLS,2196,252,2487,3429,72.53%
MITCHELL,2129,359,2540,4524,56.15%
MONTAGUE,8526,1051,9759,14001,69.70%
MONTGOMERY,194528,68254,268838,370060,72.65%
MOORE,4314,999,5447,9995,54.50%
MORRIS,3753,1639,5481,8583,63.86%
MOTLEY,591,44,638,859,74.27%
NACOGDOCHES,17370,8487,26499,38786,68.32%
NAVARRO,13701,4821,18962,29959,63.29%
NEWTON,4784,1163,6017,9400,64.01%
NOLAN,4102,1077,5281,8871,59.53%
NUECES,64558,57180,125314,211652,59.21%
OCHILTREE,2783,278,3106,5192,59.82%
OLDHAM,908,74,996,1425,69.89%
ORANGE,28720,6249,35693,54442,65.56%
PALO PINTO,9999,2028,12328,18946,65.07%
PANOLA,9145,2015,11303,16808,67.25%
PARKER,61705,11919,75520,103999,72.62%
PARMER,2132,454,2627,4537,57.90%
PECOS,3081,1376,4569,8323,54.90%
POLK,17735,5237,23531,40520,58.07%
POTTER,22683,9168,32836,57736,56.87%
PRESIDIO,651,1374,2091,4789,43.66%
RAINS,5060,789,5956,8320,71.59%
RANDALL,51116,11618,64322,93313,68.93%
REAGAN,893,154,1069,1879,56.89%
REAL,1626,286,1939,2702,71.76%
RED RIVER,4452,1191,5732,8489,67.52%
REEVES,1983,1337,3436,7558,45.46%
REFUGIO,2073,1023,3173,5007,63.37%
ROBERTS,526,15,545,680,80.15%
ROBERTSON,5590,2244,7989,11844,67.45%
ROCKWALL,37584,15009,53782,71102,75.64%
RUNNELS,3722,515,4328,7025,61.61%
RUSK,16367,4455,21179,32388,65.39%
SABINE,4678,688,5437,8050,67.54%
SAN AUGUSTINE,2898,928,3877,6108,63.47%
SAN JACINTO,9808,2268,12363,18969,65.17%
SAN PATRICIO,16174,8494,25316,43248,58.54%
SAN SABA,2218,270,2500,3776,66.21%
SCHLEICHER,927,191,1132,1709,66.24%
SCURRY,4870,805,5797,9489,61.09%
SHACKELFORD,1475,115,1607,2320,69.27%
SHELBY,7868,2022,9992,15570,64.17%
SHERMAN,889,88,987,1520,64.93%
SMITH,69574,28385,99887,146149,68.35%
SOMERVELL,4103,712,4921,6712,73.32%
STARR,5845,8161,14751,34050,43.32%
STEPHENS,3312,374,3735,5672,65.85%
STERLING,567,47,621,939,66.13%
STONEWALL,586,122,714,953,74.92%
SUTTON,1204,305,1529,2449,62.43%
SWISHER,1795,464,2319,3941,58.84%
TARRANT,423117,382408,828116,1212524,68.30%
TAYLOR,39887,13074,54483,83696,65.10%
TERRELL,324,116,450,673,66.86%
TERRY,2731,714,3524,6589,53.48%
THROCKMORTON,788,76,874,1216,71.88%
TITUS,7426,2748,10376,17666,58.73%
TOM GREEN,32340,11371,44823,70086,63.95%
TRAVIS,175860,408528,600609,854577,70.28%
TRINITY,5445,1258,6812,11541,59.02%
TYLER,7916,1400,9523,14556,65.42%
UPSHUR,15470,2804,18653,28619,65.18%
UPTON,1147,160,1336,2207,60.53%
UVALDE,5968,3821,10082,17420,57.88%
VAL VERDE,8103,6430,14968,28927,51.74%
VAN ZANDT,22010,3374,25782,38965,66.17%
VICTORIA,23144,9834,33692,56612,59.51%
WALKER,15480,7414,23477,35038,67.00%
WALLER,14219,7725,22458,35116,63.95%
WARD,3138,725,3941,6880,57.28%
WASHINGTON,12988,4017,17280,23947,72.16%
WEBB,23153,40822,66393,137840,48.17%
WHARTON,11832,4513,16621,25697,64.68%
WHEELER,2079,165,2281,3514,64.91%
WICHITA,31626,12399,45281,83575,54.18%
WILBARGER,3473,874,4419,8196,53.92%
WILLACY,2183,2968,5289,12804,41.31%
WILLIAMSON,142391,133783,283807,376672,75.35%
WILSON,18327,5943,24697,35036,70.49%
WINKLER,1714,338,2096,4013,52.23%
WISE,26630,4644,31999,45643,70.11%
WOOD,18757,3318,22470,32382,69.39%
YOAKUM,2153,387,2599,4407,58.97%
YOUNG,6996,967,8109,11769,68.90%
ZAPATA,1454,1821,3377,8257,40.90%
ZAVALA,1232,2633,3994,8066,49.52%
