,County,Partial,Trump_2020,Biden_2020,Hegar_2020,Cornyn_2020,Registered Voters_2016President,Trump_2016,Clinton_2016,Total Ballots_2016President,Registered Voters_2018Governor,Abbott_2018,Valdez_2018,Total Ballots_2018_x,Registered Voters_2018Senate,Cruz_2018,O'Rourke_2018,Turnout_2016President,Total Ballots_2018Governor,Turnout_2018Governor,Total Ballots_2018Senate,Turnout_2018Senate,Total Ballots_2020President,Registered Voters_2020President,Turnout_2020President,Total Ballots_2020Senate,Registered Voters_2020Senate,Turnout_2020Senate
0,BEXAR,Yes,68364.0,72610.0,65461.0,72755.0,,,,,,,,,,,,,,,,,,,,,,
1,COMAL,Yes,51423.0,17794.0,16047.0,52154.0,70801.0,37946.0,10283.0,50354.0,58159.0,39507.0,10162.0,50470.0,58159.0,37451.0,12304.0,,,,,,,,,,,
2,HAYS,Yes,12942.0,14887.0,13955.0,13453.0,31014.0,9668.0,8733.0,20404.0,34818.0,10885.0,10357.0,,34818.0,9591.0,12075.0,1089.3000000000002,22121.0,991.1399999999999,22121.0,991.1399999999999,,,,,,
3,TRAVIS,Yes,28255.0,94171.0,88494.0,31694.0,,,,,,,,,,,,,,,,,,,,,,
4,REAL,No,1643.0,320.0,286.0,1626.0,2522.0,1382.0,262.0,1681.0,2590.0,1341.0,213.0,,2590.0,1311.0,245.0,66.65,1566.0,60.46,1564.0,60.39,1982.0,2702.0,73.35,1939.0,2702.0,71.76
5,KERR,No,20879.0,6524.0,5946.0,21022.0,34644.0,17727.0,4681.0,23297.0,35854.0,17566.0,4268.0,,35854.0,16822.0,5198.0,67.25,22132.0,61.73,22205.0,61.93,27745.0,37726.0,73.54,27543.0,37726.0,73.01
6,BANDERA,No,10057.0,2505.0,2291.0,9957.0,15524.0,8163.0,1726.0,10218.0,15869.0,7866.0,1602.0,,15869.0,7643.0,1865.0,65.82,9588.0,60.42,9584.0,60.39,12715.0,17098.0,74.37,12537.0,17098.0,73.32
7,GILLESPIE,No,12514.0,3176.0,2996.0,12543.0,18968.0,10446.0,2288.0,13214.0,19294.0,10351.0,2030.0,,19294.0,9890.0,2572.0,69.66,12545.0,65.02,12543.0,65.01,15850.0,20404.0,77.68,15779.0,20404.0,77.33
8,KENDALL,No,20083.0,6020.0,5335.0,20584.0,29077.0,15700.0,3643.0,20120.0,30774.0,16076.0,3382.0,,30774.0,15292.0,4340.0,69.2,19744.0,64.16,19796.0,64.33,26452.0,33836.0,78.18,26392.0,33836.0,78.0
9,BLANCO,No,5443.0,1911.0,1816.0,5457.0,8033.0,4212.0,1244.0,5685.0,8504.0,4329.0,1351.0,,8504.0,4181.0,1570.0,70.77,5795.0,68.14,5808.0,68.3,7441.0,9344.0,79.63,7408.0,9344.0,79.28
Total,,,231603.0,219918.0,202627.0,241245.0,210583.0,105244.0,32860.0,144973.0,205862.0,107921.0,33365.0,,205862.0,102181.0,40169.0,1498.6500000000003,93491.0,1371.0700000000002,93621.0,1371.4899999999998,92185.0,121110.0,456.75,91598.0,121110.0,452.69999999999993
