,County,Partial,Cruz_2018,O'Rourke_2018,Total Ballots_2018Senate,Abbott_2018,Valdez_2018,Total_2018Governor,Cornyn_2020,Hegar_2020,Trump_2020,Biden_2020,Trump_2016,Clinton_2016,Total Ballots_2016President,Registered Voters_2016President,Turnout_2016President,Total Ballots_2018Governor,Registered Voters_2018Governor,Turnout_2018Governor,Registered Voters_2018Senate,Turnout_2018Senate,Registered Voters_2020President,Registered Voters_2020Senate,Total Ballots_2020Senate,Total Registered_2016President,Abbot_2018,Total Ballots_2020President,Turnout_2020President,Turnout_2020Senate
0,TARRANT,Yes,1868.0,913.0,2807.0,1959.0,789.0,2799.0,2425.0,1135.0,2387.0,1235.0,2131.0,778.0,3048.0,,,,,,,,,,,,,,,
1,HAYS,Yes,14504.0,11870.0,26905.0,15998.0,9924.0,,20415.0,14465.0,19517.0,15616.0,14202.0,9160.0,25398.0,34195.0,921.2500000000001,26905.0,38200.0,846.4799999999999,38200.0,846.4799999999999,,,,,,,,
2,BELL,Yes,218.0,131.0,355.0,,,,3581.0,7905.0,3526.0,8210.0,239.0,108.0,364.0,,,,,,591.0,,23991.0,23991.0,11762.0,559.0,,,,
3,ERATH,Yes,4609.0,1252.0,,,1025.0,,5988.0,1328.0,6016.0,1448.0,4769.0,1028.0,6143.0,9273.0,584.9300000000001,,,,10328.0,,,,,,4785.0,,,
4,TRAVIS,Yes,,,,,,,66539.0,105336.0,60655.0,113525.0,,,,,,,,,,,,,,,,,,
5,BURNET,No,13859.0,4444.0,18490.0,14497.0,3712.0,,18687.0,5323.0,18767.0,5639.0,14638.0,3797.0,19204.0,29587.0,64.91,18549.0,31072.0,59.7,31072.0,59.51,33697.0,33697.0,24540.0,,,24717.0,73.35,72.83
6,LAMPASAS,No,5836.0,1569.0,7470.0,6073.0,1343.0,,8102.0,1978.0,8086.0,2144.0,6385.0,1483.0,8205.0,13786.0,59.52,7517.0,14099.0,53.32,14099.0,52.98,15424.0,15424.0,10330.0,,,10399.0,67.42,66.97
7,CORYELL,No,10626.0,5067.0,15863.0,11281.0,4392.0,,15372.0,7118.0,15438.0,7565.0,12225.0,5064.0,18253.0,37644.0,48.49,15931.0,38635.0,41.23,38635.0,41.06,41450.0,41450.0,23249.0,,,23493.0,56.68,56.09
8,HAMILTON,No,2795.0,507.0,3330.0,2903.0,405.0,,3574.0,594.0,3616.0,641.0,3060.0,479.0,3620.0,5467.0,66.22,3338.0,5611.0,59.49,5611.0,59.35,5832.0,5832.0,4294.0,,,4351.0,74.61,73.63
9,BOSQUE,No,5718.0,1374.0,7155.0,5948.0,1104.0,,7367.0,1490.0,7469.0,1561.0,6339.0,1278.0,7838.0,12002.0,65.31,7158.0,12209.0,58.63,12209.0,58.6,12724.0,12724.0,9039.0,,,9126.0,71.72,71.04
10,HILL,No,8927.0,2443.0,11433.0,9262.0,2052.0,,11845.0,2688.0,11926.0,2860.0,10108.0,2547.0,12970.0,22825.0,56.82,11430.0,22743.0,50.26,22743.0,50.27,23625.0,23625.0,14827.0,,,14931.0,63.2,62.76
11,SOMERVELL,No,3033.0,633.0,3691.0,3143.0,499.0,,4103.0,712.0,4105.0,768.0,3206.0,541.0,3897.0,6018.0,64.76,3684.0,6287.0,58.6,6287.0,58.71,6712.0,6712.0,4921.0,,,4947.0,73.7,73.32
12,JOHNSON,No,39571.0,12411.0,52436.0,41485.0,10105.0,,54403.0,15474.0,54628.0,16464.0,44382.0,10988.0,57606.0,91725.0,62.8,52364.0,97157.0,53.9,97157.0,53.97,105574.0,105574.0,71463.0,,,72020.0,68.22,67.69
Total,,,111564.0,42614.0,149935.0,112549.0,35350.0,,222401.0,165546.0,216136.0,177676.0,121684.0,37251.0,166546.0,262522.0,1995.0100000000002,146876.0,266013.0,1281.61,276932.0,1280.9299999999998,269029.0,269029.0,174425.0,,,163984.0,548.9,544.3299999999999
