Precinct,Reg. Voters,Early Vote,Election Day,Provisional,Turnout
420,8999,6069,644,164,74.60%
368,5061,2999,441,157,68.00%
427,2746,1559,200,25,64.10%
311,2236,1137,343,18,66.20%
369,6323,4102,450,71,72.00%
216,2582,1720,136,28,71.90%
310,1941,882,396,21,65.80%
392,5556,3354,267,66,65.20%
309,1582,952,247,13,75.80%
429,1763,842,137,18,55.50%
434,3388,2004,422,54,71.60%
415,1939,916,361,26,65.90%
428,3127,1953,227,48,69.70%
343,5244,3497,329,66,73.00%
370,6245,3865,425,85,68.70%
371,2705,1570,126,42,62.70%
267,7258,5072,703,86,79.60%
119,3816,2237,275,40,65.80%
151,2819,1638,211,47,65.60%
150,2914,1456,210,40,57.20%
135,3786,1832,291,65,56.10%
314,3529,1853,297,40,60.90%
344,6009,4289,482,87,79.40%
423,4110,2214,294,40,61.00%
341,2179,1273,127,19,64.20%
190,5091,3446,265,37,72.90%
254,3944,2408,231,45,66.90%
206,4071,2737,305,58,74.70%
456,2049,932,141,43,52.40%
266,4984,2888,294,65,63.80%
436,874,523,54,11,66.00%
403,3311,2007,270,69,68.80%
207,5900,3870,430,65,72.90%
312,5990,3519,630,64,69.30%
263,5784,3735,519,54,73.50%
379,4839,3124,259,50,69.90%
484,6738,4477,426,59,72.80%
201,6303,4372,406,51,75.80%
275,3076,1696,205,45,61.80%
425,712,239,182,3,59.10%
333,4099,2686,268,48,72.10%
287,5143,3162,349,57,68.30%
204,5513,3676,361,48,73.20%
253,4974,2931,409,49,67.10%
152,3059,1530,221,41,57.20%
393,2291,1242,23,27,55.20%
413,636,330,106,6,68.60%
264,5898,3648,534,84,70.90%
149,3070,1614,222,31,59.80%
395,3761,2603,180,33,74.00%
402,6845,4183,533,124,68.90%
426,2173,1396,157,32,71.50%
337,5283,3297,421,55,70.40%
305,3815,2765,192,42,77.50%
122,2950,1959,142,24,71.20%
489,5098,3398,291,46,72.40%
277,5348,3656,284,52,73.70%
480,5918,3599,401,79,67.60%
138,4293,2743,247,38,69.60%
396,4753,2916,71,43,62.80%
202,1974,1318,90,22,71.30%
491,6173,3819,412,75,68.50%
182,4208,3080,214,26,78.30%
381,3355,1884,46,34,57.50%
345,3644,2765,232,42,82.20%
342,1316,486,111,28,45.40%
283,5453,3134,430,74,65.40%
455,2856,1428,208,35,57.30%
488,3189,2187,204,31,75.00%
259,5970,3942,480,62,74.10%
197,2909,2077,118,21,75.50%
463,6485,3553,532,100,63.00%
198,4361,3006,182,39,73.10%
490,2567,1623,174,44,70.00%
218,3238,1998,157,37,66.60%
147,4087,2351,269,40,64.10%
274,7166,4153,585,119,66.10%
145,3336,1713,254,43,59.00%
160,4782,3054,269,39,69.50%
332,4521,3187,265,27,76.40%
330,4292,2685,314,36,69.90%
424,4004,2688,233,34,73.00%
185,1659,1104,85,14,71.70%
278,5221,3401,284,48,70.60%
162,3112,1724,191,35,61.50%
140,2084,1380,113,19,71.60%
331,4439,2931,356,44,74.00%
186,2966,1987,145,20,71.90%
273,3108,1964,168,21,68.60%
172,2360,1649,115,23,74.70%
394,3975,2390,57,37,61.60%
339,3372,1971,264,46,66.30%
146,5210,3187,266,44,66.30%
189,3096,2069,179,33,72.60%
